revenue,total_expenses,current_assets,current_liabilities,total_assets,total_debt,inventory,accounts_receivable,accounts_payable,revenue_growth_rate,industry,gross_margin,operating_margin,net_margin,ebitda_margin,roa,roe,current_ratio,quick_ratio,cash_ratio,working_capital_to_assets,debt_to_equity,debt_to_assets,interest_coverage,equity_ratio,receivable_days,payable_days,inventory_days,cash_conversion_cycle,asset_turnover,expense_growth_rate,operating_cash_flow_margin,cash_flow_to_debt,risk_label,distress_score,target_WORKING_CAPITAL,target_RECEIVABLES,target_DEBT_REDUCTION,target_COST_OPTIMIZATION,target_MARGIN_IMPROVEMENT,target_CASH_FLOW_STABILIZATION,target_REVENUE_GROWTH,target_INVENTORY_OPTIMIZATION
8363008.242986171,6826120.368368746,3278698.8679686687,2273092.144759147,6086337.361575117,4300418.626230131,1794780.8416331082,1254458.6309068778,1187441.5800890059,0.019386254591378792,agriculture,0.4694518873443825,0.18377213437597303,0.18377213437597303,0.22016057968618521,0.2525144078145029,0.8605586828790078,1.44239593433467,0.6528191255936938,0.1009459277564816,0.16522362522298223,2.407958739174892,0.7065692173720061,3.9708999110078227,0.29343078262799394,54.75032272807094,63.49377880016224,95.96886252280284,87.22540645071155,1.3740625512782718,0.017447629132240912,0.20085842892337982,0.39060864598477957,0,26.514718516542985,0,1,1,0,0,0,1,1
11730466.92695386,9233994.022996636,2943942.84774057,2323083.730202439,7277390.617362222,3904240.499989872,1766365.7086443424,1134081.0658412077,1603227.4559852753,-0.07197691257530818,retail,0.4883327192069051,0.21281956801062324,0.21281956801062324,0.2438387536179774,0.3430450604095923,0.7401013346841352,1.2672564529062533,0.5069025811625012,0.018723420378493897,0.08531342484995937,1.1574464118517311,0.5364890666546371,7.104733384590137,0.46351093334536286,35.28756285744302,63.372146438180415,69.82065204390915,41.736068463171755,1.6119056326271117,-0.079174603832839,0.23234221057606666,0.6980826659897026,0,17.43905536817503,1,0,0,0,0,0,1,1
11103250.595881894,10200657.545015896,2118147.4437964447,648460.5945869077,5295314.70101137,1420879.0177095095,1270888.4662778669,152099.32323125884,549216.4627047287,0.2022871909321706,e-commerce,0.4028390742869926,0.08129088351845026,0.08129088351845026,0.10513666928759863,0.17045125773046296,0.23296116509457532,3.26642430006989,1.306569720027956,1.0720152621304002,0.27754476026303715,0.3667318633867764,0.26832758729866063,7.058174236716898,0.7316724127013393,5.0,19.652067330225584,45.474940036397285,30.8228727061717,2.096806558779452,0.18205847183895355,0.08713096634460489,0.680872151624162,0,-9.190352281269249,0,0,0,0,0,0,0,0
6710748.288897364,5909342.889278264,3713753.5221057045,1905210.4929944696,5740305.8393443115,2851912.6362439184,0.0,490147.02196752204,816251.213035564,-0.08641993950447689,logistics,0.6477684672479813,0.11942116811995322,0.11942116811995322,0.16219065962987464,0.1396102267106105,0.27745716849038227,1.9492615308184138,1.9492615308184138,1.6919949328389197,0.31506039568752603,0.9873699443630748,0.4968224195820338,3.1222921512560124,0.5031775804179661,26.65927186005974,50.41705961902114,0.0,-23.7577877589614,1.1690576210942625,-0.09506193345492459,0.12668681549095012,0.29810286594243235,0,7.47462997380798,0,0,0,0,0,0,1,0
10607142.710436286,10329866.611109033,2738494.139656931,487200.8293027708,4820242.558136947,1180121.459218184,1643096.4837941586,716980.279901227,414120.70490735513,0.29281144238696344,e-commerce,0.36699133022745023,0.026140508042231142,0.026140508042231142,0.048862190448721005,0.05752326692755106,0.07617221839394667,5.6208733133233135,2.2483493253293254,0.7767174298596653,0.4670497974326625,0.32419840635761243,0.24482615656468293,2.6106173428297907,0.7551738434353171,24.67184700988942,14.632721116517539,58.05788585303714,68.09701174640902,2.2005412761917134,0.2635302981482671,0.023093539636862268,0.2075688639537118,0,5.876439917821543,0,0,0,1,0,1,0,0
2058101.965696795,2021636.7043794538,1047794.472514183,407041.6419004329,1714153.2579760845,1148713.5893599016,0.0,184284.0754773885,316820.16052219283,0.01933525255735221,logistics,0.6070871632067063,0.01771790801676601,0.01771790801676601,0.05936193942401793,0.02127304612213961,0.06449010096264315,2.5741702191012825,2.5741702191012825,2.121430114631906,0.37380136672860426,2.031540503996089,0.6701347058758315,0.3527159197432774,0.32986529412416854,32.68238827344683,57.200860243629265,0.0,-24.518471970182432,1.200652249803389,0.01740172730161699,0.019899941430328166,0.03565389053839912,0,38.96998852996342,0,0,1,1,0,1,1,0
22845423.664659634,19513790.162571304,6173078.261833378,3565099.3168712724,11316444.860394588,6584235.763095788,0.0,2891632.14331364,1498730.1852410075,-0.023956167523458305,services,0.6583334947251103,0.1458337368127757,0.1458337368127757,0.17060115856538777,0.2944063743683687,0.7040334510979377,1.7315305165890484,1.7315305165890484,0.9204361020156746,0.2304592102144674,1.391366194459612,0.5818289970323953,5.622239445113432,0.4181710029676047,46.19943791815879,28.03332991979276,0.0,18.166107998366034,2.018780981703387,-0.026351784275804136,0.15423191330255417,0.5351408316447073,0,5.577904371122504,0,1,1,0,0,0,1,0
4832286.567003718,4445313.196102399,1213119.517077829,71589.26702779329,1824615.6995194287,108923.9997358224,0.0,328861.39538859035,60850.8769736243,0.027473971595202068,services,0.6320323197339899,0.08008079933497465,0.08008079933497465,0.09896022291860941,0.2120848631321325,0.2255494801018888,16.945550184315426,16.945550184315426,10.0,0.6256277693712131,0.06348693051878761,0.05969695413917082,39.47435029519663,0.9403030458608291,24.840085051343177,4.996401629214078,0.0,19.8436834221291,2.6483859413664237,0.024726574435681863,0.0715613548745951,3.1747362814052558,0,-12.505526469573256,0,0,0,0,0,0,1,0
9161823.906547725,8166381.078196009,4153836.6989699383,484639.1978188702,5968123.321825557,927316.9418845143,0.0,752846.5214417487,411943.3181460397,-0.4,services,0.6434604654490378,0.10865116362259468,0.10865116362259468,0.14122177064747043,0.1667932739779958,0.1974769021704339,8.570987897108562,8.570987897108562,7.017571407419012,0.6147992096163182,0.18396202353151284,0.1553783144013288,11.927395447016508,0.8446216855986712,29.992824914464194,18.411988086713137,0.0,11.580836827751057,1.5351264396703626,-0.44000000000000006,0.09465888233126066,0.9352228692675355,0,-0.8730245340608711,0,0,0,0,0,0,1,0
10617251.969741734,9548956.188780313,2341658.4440202224,848627.0780407384,4513980.8237668825,1462303.5709125993,0.0,566858.5984645842,332251.7173252708,-0.22372198247992786,services,0.6402475436772518,0.1006188591931295,0.1006188591931295,0.12187662361574726,0.23666378362456925,0.35006840253576166,2.7593491942615236,2.7593491942615236,2.09137781657073,0.3307571352803313,0.47918028341459873,0.3239498854787598,8.11729750094621,0.6760501145212402,19.48747086621193,12.700013951913826,0.0,6.787456914298103,2.3520817620314385,-0.24609418072792066,0.10356275620544532,0.7519313357266407,0,0.6488600170568777,0,0,0,0,0,0,1,0
